nqueries,snids,accuracy,eff,pur,fom
0,---,0.5741960480433941,0.8888888888888888,0.32354859752120024,0.12223146351230632
1,DES_SN047321,0.5769081751259202,0.8763440860215054,0.32341269841269843,0.12044189377867233
2,DES_SN713403,0.5772956218519953,0.8853046594982079,0.3247863247863248,0.12233300749429782
3,DES_SN838443,0.5753583882216196,0.8835125448028673,0.32349081364829396,0.1214644965387099
4,DES_SN039831,0.5769081751259202,0.8870967741935484,0.3248031496062992,0.12258875020262602
5,DES_SN212692,0.5738086013173189,0.8781362007168458,0.3219448094612352,0.11999072458205644
6,DES_SN135517,0.5803951956605967,0.8835125448028673,0.32627399073461283,0.12280002384770612
7,DES_SN263162,0.5749709414955444,0.8853046594982079,0.3235101506221349,0.1217201507910144
8,DES_SN593868,0.578845408756296,0.8870967741935484,0.32587228439763,0.12310426218833936
9,DES_SN670405,0.576520728399845,0.8870967741935484,0.32459016393442625,0.12248616547442298
10,DES_SN077825,0.576520728399845,0.8835125448028673,0.3241288625904011,0.12177011031250029
11,DES_SN290909,0.5730337078651685,0.8870967741935484,0.3226857887874837,0.12157057121423215
12,DES_SN091961,0.5745834947694692,0.8835125448028673,0.32306684141546527,0.12126160484070535
13,DES_SN434363,0.5772956218519953,0.8853046594982079,0.3247863247863248,0.12233300749429782
14,DES_SN019459,0.5699341340565672,0.8942652329749103,0.32193548387096776,0.1221901290401096
15,DES_SN353322,0.5707090275087175,0.8906810035842294,0.32189119170984454,0.12167907058311214
16,DES_SN186088,0.5710964742347927,0.8978494623655914,0.3230174081237911,0.12320530831146571
17,DES_SN466437,0.5710964742347927,0.8888888888888888,0.3218689162881246,0.12142354417209829
18,DES_SN730330,0.576520728399845,0.8924731182795699,0.32527759634225994,0.12356174948657932
19,DES_SN514783,0.5753583882216196,0.8888888888888888,0.3241830065359477,0.12253721203137545
20,DES_SN698064,0.571871367686943,0.8978494623655914,0.3234344738540994,0.12340811540333643
21,DES_SN114602,0.578845408756296,0.8906810035842294,0.3263296126066973,0.12382334511366769
22,DES_SN768594,0.5807826423866719,0.8799283154121864,0.32602921646746347,0.12218461619552702
23,DES_SN822737,0.5815575358388222,0.8835125448028673,0.3269230769230769,0.12311240378400609
24,DES_SN027531,0.5757458349476947,0.8906810035842294,0.3246244284781189,0.12299762678003945
25,DES_SN607694,0.5749709414955444,0.8870967741935484,0.3237410071942446,0.12207753773305711
26,DES_SN598447,0.5757458349476947,0.8853046594982079,0.3239344262295082,0.12192375293897818
27,DES_SN152872,0.5831073227431228,0.8853046594982079,0.3280212483399734,0.12389249342552824
28,DES_SN407054,0.5819449825648974,0.8924731182795699,0.32827949901120634,0.12502155074633636
29,DES_SN525603,0.5862068965517241,0.8817204301075269,0.3293172690763052,0.12401556649882885
30,DES_SN008453,0.5865943432777994,0.8817204301075269,0.32953784326858676,0.12412201762887073
31,DES_SN356541,0.5900813638124758,0.8906810035842294,0.3326639892904953,0.1269118287790602
32,DES_SN467679,0.5900813638124758,0.8835125448028673,0.33176312247644685,0.12545267413243477
33,DES_SN176471,0.5815575358388222,0.8817204301075269,0.32669322709163345,0.12275225003194773
