day accuracy efficiency purity fom query_id
0 0.4560942994403447 0.5545490350531705 0.23933367329593744 0.05263972502898026 81661
1 0.4612679544328876 0.5470657739267428 0.2397928355632283 0.0520479715047944 154108
2 0.4607459507652682 0.5474596297755022 0.23967583412363136 0.05205519618209447 169115
3 0.4695363582326134 0.5354470263883419 0.24064076466943976 0.05115711953160342 573623
4 0.47857532075097836 0.520677432059866 0.2411088819989057 0.04986132308461738 357929
5 0.47498266125037153 0.5271760535643955 0.2410842939481268 0.05047751253279515 403670
6 0.48090165964825365 0.519495864513588 0.2418852008068953 0.04993914767826125 739218
7 0.48384859294490684 0.5120126033871603 0.2414113277623027 0.04910486052403603 813946
8 0.4867462716147253 0.5009846396218984 0.24002264364562695 0.04771818200599459 797713
9 0.49385591120800715 0.4864119732178023 0.23964296109440186 0.04624293036634354 108539
10 0.4953173777315297 0.48483654982276486 0.2399376279115096 0.04616062437308663 457183
11 0.49717542120911795 0.4824734147302087 0.24021962937542896 0.0459999169587505 462857
12 0.503493731106596 0.4694761717211501 0.23986316530838112 0.044681671658877466 286628
13 0.5087719298245614 0.4633714060653801 0.24083930399181167 0.044314457749627674 815502
14 0.5006195172721416 0.47646247784124485 0.2402900566206417 0.04544268161881367 434399
15 0.5021312450436162 0.4731140437266102 0.2401519696060788 0.045092450322645736 889502
16 0.5067162329615861 0.46385660823320857 0.23993886907794193 0.044163424798431626 330464
17 0.5185882819470605 0.4482962379357889 0.24169055962620792 0.04305338780293917 255005
18 0.5121697318197591 0.4566587864460205 0.24068113383864603 0.04363833396470609 798277
19 0.518391830259766 0.4385342789598109 0.23881557772771161 0.04152002488046187 505398
20 0.5238213276486045 0.4304570527974783 0.2393471355022456 0.04086321676858366 117891
21 0.5264253842340109 0.42572892040977145 0.23936641559592378 0.04041824958288007 726355
22 0.5380038673211364 0.4026792750197006 0.23878504672897197 0.03811950899130548 254934
23 0.5257834192780643 0.42305418719211824 0.23821147231776324 0.03993393448676535 636007
24 0.5275449992562107 0.4221521482065432 0.23884924174843888 0.03997568087791404 584363
25 0.5303976990974908 0.4178163184864013 0.23911572298669073 0.039617613167151386 443045
26 0.5339945450037193 0.4085534095388254 0.2383032532474997 0.03858280798022801 731718
27 0.5367982543146201 0.39751675206937326 0.23645955451348183 0.03719573617201363 639476
28 0.5496205921737837 0.382538431217974 0.23906885084369997 0.03626408278359402 670227
