nqueries,snids,accuracy,eff,pur,fom
0,---,0.583645911478,0.90447761194,0.366828087167,0.146397818599
1,DES_SN601874,0.592648162041,0.90447761194,0.372235872236,0.149268364062
2,DES_SN017604,0.5903975994,0.913432835821,0.371810449575,0.150517203964
3,DES_SN117243,0.597899474869,0.910447761194,0.37607891492,0.152323953464
4,DES_SN523786,0.607651912978,0.898507462687,0.381012658228,0.152969879111
5,DES_SN745653,0.620405101275,0.889552238806,0.38852672751,0.155475992472
6,DES_SN670956,0.613653413353,0.889552238806,0.384020618557,0.15305229051
7,DES_SN315612,0.633158289572,0.892537313433,0.397606382979,0.160958176548
8,DES_SN534959,0.639159789947,0.871641791045,0.4,0.158480325645
9,DES_SN418929,0.649662415604,0.889552238806,0.409340659341,0.166931087635
10,DES_SN223513,0.648912228057,0.880597014925,0.408022130014,0.164519391642
11,DES_SN374530,0.655663915979,0.868656716418,0.412181303116,0.164569729478
12,DES_SN060897,0.665416354089,0.850746268657,0.418502202643,0.164604675198
13,DES_SN099228,0.675168792198,0.84776119403,0.426426426426,0.168366558814
14,DES_SN588715,0.672918229557,0.85671641791,0.425185185185,0.169453902095
15,DES_SN603327,0.678169542386,0.853731343284,0.429429429429,0.171225220322
16,DES_SN043378,0.69167291823,0.838805970149,0.440438871473,0.17433763137
17,DES_SN562680,0.707426856714,0.823880597015,0.454695222405,0.17918916058
18,DES_SN525709,0.711177794449,0.817910447761,0.458193979933,0.179861527036
19,DES_SN079151,0.700675168792,0.829850746269,0.448387096774,0.17691603333
20,DES_SN440567,0.732183045761,0.805970149254,0.480427046263,0.18988825506
21,DES_SN338717,0.728432108027,0.782089552239,0.475499092559,0.181494652512
22,DES_SN182151,0.743435858965,0.773134328358,0.493333333333,0.189443510922
23,DES_SN897318,0.748687171793,0.758208955224,0.5,0.189552238806
24,DES_SN365172,0.766691672918,0.767164179104,0.524489795918,0.206235558609
25,DES_SN544858,0.76144036009,0.758208955224,0.517311608961,0.19957002552
26,DES_SN530863,0.77344336084,0.746268656716,0.535331905782,0.207066774894
27,DES_SN630846,0.780945236309,0.740298507463,0.547461368653,0.212739316165
28,DES_SN223208,0.77344336084,0.746268656716,0.535331905782,0.207066774894
29,DES_SN866241,0.781695423856,0.746268656716,0.548245614035,0.214939129239
30,DES_SN402743,0.780945236309,0.749253731343,0.546840958606,0.214928784648
31,DES_SN369311,0.776444111028,0.740298507463,0.540305010893,0.208392769411
32,DES_SN364033,0.775693923481,0.734328358209,0.539473684211,0.206215497853
33,DES_SN005980,0.798199549887,0.746268656716,0.576036866359,0.232627386757
34,DES_SN644982,0.791447861965,0.746268656716,0.564334085779,0.225050861495
35,DES_SN571946,0.788447111778,0.737313432836,0.560090702948,0.219682048143
36,DES_SN015216,0.800450112528,0.728358208955,0.582338902148,0.231104555247
37,DES_SN175977,0.807951987997,0.728358208955,0.596577017115,0.240486336922
38,DES_SN848367,0.806451612903,0.713432835821,0.596009975062,0.235186824498
39,DES_SN546477,0.810202550638,0.716417910448,0.603015075377,0.240812743008
40,DES_SN261248,0.807951987997,0.716417910448,0.598503740648,0.237815074008
41,DES_SN275563,0.822205551388,0.725373134328,0.626288659794,0.259978866728
42,DES_SN298283,0.813953488372,0.719402985075,0.610126582278,0.246623213945
43,DES_SN138790,0.813203300825,0.713432835821,0.609693877551,0.244284309113
44,DES_SN498066,0.820705176294,0.713432835821,0.625654450262,0.255255161319
45,DES_SN614680,0.818454613653,0.716417910448,0.62015503876,0.252482082977
46,DES_SN075715,0.822205551388,0.716417910448,0.628272251309,0.258168616378
47,DES_SN516165,0.817704426107,0.69552238806,0.622994652406,0.247037677466
48,DES_SN525116,0.821455363841,0.722388059701,0.625322997416,0.258224387663
49,DES_SN388705,0.821455363841,0.701492537313,0.630026809651,0.254007313203
50,DES_SN823980,0.827456864216,0.698507462687,0.644628099174,0.263205710578
51,DES_SN701680,0.825206301575,0.716417910448,0.634920634921,0.26290565521
52,DES_SN424441,0.825956489122,0.719402985075,0.635883905013,0.264696365501
53,DES_SN285180,0.825206301575,0.725373134328,0.6328125,0.264663170633
54,DES_SN018879,0.823705926482,0.734328358209,0.627551020408,0.264100549882
55,DES_SN442019,0.825956489122,0.716417910448,0.636604774536,0.264117202008
56,DES_SN679352,0.830457614404,0.731343283582,0.643044619423,0.274393728143
57,DES_SN565186,0.827456864216,0.746268656716,0.632911392405,0.272360823619
58,DES_SN654251,0.822955738935,0.734328358209,0.625954198473,0.262947272372
59,DES_SN394747,0.825956489122,0.731343283582,0.633074935401,0.26703294259
60,DES_SN801554,0.82895723931,0.737313432836,0.638242894057,0.273038107812
61,DES_SN704342,0.833458364591,0.737313432836,0.648293963255,0.280610813421
62,DES_SN381202,0.828207051763,0.728358208955,0.638743455497,0.270090278093
63,DES_SN544978,0.836459114779,0.728358208955,0.657681940701,0.284351044776
64,DES_SN348957,0.833458364591,0.710447761194,0.65564738292,0.275834530447
65,DES_SN164151,0.839459864966,0.701492537313,0.67335243553,0.285703199772
66,DES_SN565858,0.841710427607,0.69552238806,0.681286549708,0.289386993603
67,DES_SN507162,0.837959489872,0.686567164179,0.674486803519,0.280480369025
68,DES_SN558998,0.834208552138,0.680597014925,0.666666666667,0.27223880597
69,DES_SN326932,0.839459864966,0.680597014925,0.680597014925,0.282652312209
70,DES_SN637847,0.842460615154,0.686567164179,0.686567164179,0.289743940846
71,DES_SN847781,0.837209302326,0.671641791045,0.677710843373,0.276775463343
72,DES_SN848840,0.839459864966,0.671641791045,0.683890577508,0.281414158259
73,DES_SN422574,0.837959489872,0.662686567164,0.683076923077,0.277055400961
74,DES_SN711676,0.841710427607,0.65671641791,0.696202531646,0.284404747914
75,DES_SN724155,0.838709677419,0.665671641791,0.684049079755,0.279031534059
76,DES_SN292169,0.844711177794,0.674626865672,0.697530864198,0.293203214696
77,DES_SN504005,0.84096024006,0.662686567164,0.691588785047,0.283461306186
78,DES_SN039141,0.840210052513,0.662686567164,0.689440993789,0.281832218219
79,DES_SN378293,0.839459864966,0.668656716418,0.68501529052,0.281011453054
80,DES_SN743702,0.839459864966,0.65671641791,0.689655172414,0.279453794856
81,DES_SN276986,0.837209302326,0.64776119403,0.686708860759,0.273471165573
