# ID train/target Class
DES_SN291479 target 33
DES_SN203460 target 1
DES_SN046366 target 30
DES_SN151346 target 2
DES_SN638387 target 0
DES_SN073118 target 3
DES_SN304119 target 42
DES_SN745107 target 2
DES_SN838786 target 12
DES_SN423318 target 8
DES_SN314445 target 0
DES_SN173603 target 20
DES_SN889642 target 17
DES_SN153184 target 30
DES_SN563778 target 26
DES_SN886062 target 38
DES_SN641256 target 27
DES_SN503684 target 0
DES_SN170285 target 21
DES_SN407661 target 0
DES_SN328727 target 27
DES_SN374207 target 44
DES_SN436426 target 0
DES_SN448022 target 0
DES_SN036198 target 2
DES_SN759699 target 30
DES_SN781105 target 8
DES_SN308268 target 0
DES_SN480609 target 38
DES_SN825223 target 0
DES_SN295582 target 40
DES_SN704699 target 19
DES_SN422005 target 28
DES_SN875996 target 30
DES_SN324790 target 0
DES_SN461443 target 0
DES_SN138404 target 30
DES_SN509353 target 26
DES_SN410536 target 10
DES_SN025848 target 32
DES_SN608132 target 30
DES_SN830579 target 0
DES_SN077578 target 29
DES_SN299360 target 24
DES_SN580539 target 0
DES_SN739446 target 34
DES_SN535164 target 26
DES_SN260871 target 26
DES_SN532313 target 0
DES_SN568248 target 42
DES_SN806387 target 8
DES_SN371398 target 32
DES_SN726165 target 0
DES_SN005756 target 15
DES_SN037402 target 21
DES_SN613230 target 30
DES_SN429054 target 30
DES_SN537050 target 42
DES_SN654394 target 20
DES_SN054102 target 0
DES_SN137658 target 3
DES_SN042458 target 24
DES_SN347531 target 20
DES_SN877199 target 0
DES_SN571507 target 23
DES_SN257851 target 21
DES_SN877937 target 20
DES_SN071114 target 30
DES_SN689140 target 16
DES_SN050535 target 0
DES_SN727814 target 24
DES_SN540433 target 40
DES_SN668762 target 23
DES_SN178825 target 0
DES_SN339874 target 27
DES_SN173834 target 31
DES_SN233235 target 18
DES_SN599833 target 0
DES_SN321179 target 15
DES_SN382891 target 27
DES_SN122275 target 33
DES_SN269619 target 43
DES_SN451584 target 0
DES_SN134457 target 0
DES_SN725088 target 41
DES_SN536760 target 2
DES_SN785958 target 0
DES_SN540714 target 42
DES_SN293728 target 30
DES_SN576911 target 0
DES_SN773724 target 24
DES_SN014629 target 29
DES_SN521933 target 0
DES_SN711446 target 0
DES_SN430025 target 22
DES_SN097203 target 0
DES_SN206655 target 0
DES_SN091800 target 23
DES_SN457057 target 24
DES_SN506269 target 0
DES_SN407234 target 32
DES_SN802839 target 30
DES_SN231525 target 6
DES_SN506788 target 30
DES_SN492642 target 27
DES_SN263530 target 40
DES_SN748208 target 0
DES_SN813679 target 4
DES_SN014719 target 0
DES_SN772371 target 0
DES_SN726906 target 44
DES_SN074829 target 30
DES_SN646858 target 21
DES_SN516282 target 30
DES_SN136626 target 30
DES_SN702826 target 42
DES_SN782133 target 0
DES_SN069138 target 4
DES_SN439556 target 2
DES_SN650274 target 34
DES_SN510680 target 17
DES_SN862595 target 42
DES_SN538453 target 17
DES_SN257000 target 23
DES_SN273580 target 0
DES_SN232605 target 30
DES_SN297927 target 27
DES_SN165771 target 29
DES_SN476668 target 44
DES_SN552748 target 30
DES_SN354018 target 42
DES_SN184017 target 20
DES_SN529445 target 27
DES_SN478721 target 21
DES_SN742492 target 17
DES_SN064604 target 0
DES_SN402184 target 19
DES_SN155803 target 17
DES_SN494268 target 36
DES_SN122288 target 0
DES_SN156718 target 27
DES_SN718246 target 17
DES_SN055477 target 0
DES_SN094464 target 21
DES_SN424019 target 30
DES_SN753447 target 35
DES_SN593196 target 20
DES_SN656722 target 8
DES_SN619618 target 21
DES_SN141588 target 0
DES_SN220478 target 22
DES_SN682504 target 0
DES_SN732263 target 8
DES_SN690074 target 30
DES_SN320850 target 38
DES_SN231846 target 0
DES_SN688310 target 20
DES_SN236712 target 17
DES_SN396447 target 27
DES_SN320964 target 43
DES_SN209973 target 0
DES_SN225020 target 30
DES_SN508646 target 37
DES_SN624094 target 0
DES_SN305489 target 8
DES_SN846245 target 0
DES_SN345998 target 27
DES_SN678892 target 0
DES_SN752876 target 23
DES_SN569109 target 20
DES_SN693464 target 17
DES_SN825847 target 3
DES_SN744845 target 17
DES_SN260779 target 9
DES_SN436155 target 29
DES_SN672912 target 0
DES_SN002744 target 30
DES_SN027459 target 27
DES_SN469310 target 32
DES_SN725100 target 0
DES_SN888639 target 44
DES_SN861568 target 0
DES_SN499989 target 8
DES_SN625538 target 2
DES_SN579442 target 18
DES_SN051813 target 0
DES_SN067923 target 26
DES_SN241332 target 14
DES_SN672052 target 27
DES_SN462130 target 8
DES_SN619554 target 36
