# ID train/target Class
DES_SN116537 target 36 
DES_SN313608 target 21 
DES_SN621356 target 30 
DES_SN752368 target 2 
DES_SN687582 target 0 
DES_SN855370 target 23 
DES_SN328118 target 37 
DES_SN704481 target 0 
DES_SN043679 target 33 
DES_SN172648 target 31 
DES_SN762146 target 22 
DES_SN356808 target 42 
DES_SN106893 target 35 
DES_SN092817 target 24 
DES_SN490474 target 21 
DES_SN435765 target 26 
DES_SN686696 target 5 
DES_SN728605 target 16 
DES_SN455618 target 30 
DES_SN312873 target 17 
DES_SN710281 target 27 
DES_SN514424 target 30 
DES_SN166136 target 0 
DES_SN275038 target 0 
DES_SN074734 target 7 
DES_SN055477 target 0 
DES_SN307445 target 0 
DES_SN893151 target 0 
DES_SN433050 target 22 
DES_SN588920 target 30 
DES_SN882574 target 32 
DES_SN470861 target 0 
DES_SN314588 target 35 
DES_SN649908 target 17 
DES_SN268525 target 29 
DES_SN819489 target 12 
DES_SN573854 target 0 
DES_SN088985 target 0 
DES_SN516010 target 38 
DES_SN016931 target 41 
DES_SN863518 target 32 
DES_SN069315 target 21 
DES_SN130503 target 44 
DES_SN387712 target 24 
DES_SN306839 target 0 
DES_SN715168 target 8 
DES_SN747624 target 42 
DES_SN846270 target 13 
DES_SN822108 target 8 
DES_SN319827 target 0 
DES_SN047879 target 0 
DES_SN680428 target 24 
DES_SN871419 target 2 
DES_SN510846 target 42 
DES_SN846154 target 32 
DES_SN792085 target 8 
DES_SN621323 target 36 
DES_SN676809 target 38 
DES_SN358430 target 17 
DES_SN383168 target 38 
DES_SN332841 target 32 
DES_SN536858 target 4 
DES_SN453075 target 31 
DES_SN234952 target 12 
DES_SN648536 target 45 
DES_SN125823 target 25 
DES_SN281144 target 6 
DES_SN399007 target 34 
DES_SN894482 target 27 
DES_SN630504 target 43 
DES_SN231738 target 41 
DES_SN527967 target 44 
DES_SN230503 target 0 
DES_SN839174 target 30 
DES_SN780392 target 0 
DES_SN084882 target 30 
DES_SN226736 target 43 
DES_SN278101 target 31 
DES_SN577413 target 0 
DES_SN431796 target 26 
DES_SN278415 target 31 
DES_SN293812 target 0 
DES_SN437303 target 27 
DES_SN062767 target 31 
DES_SN608936 target 44 
DES_SN676712 target 0 
DES_SN636055 target 42 
DES_SN597636 target 4 
DES_SN095782 target 0 
DES_SN049576 target 36 
DES_SN035622 target 36 
DES_SN841731 target 44 
DES_SN036206 target 19 
DES_SN691481 target 30 
DES_SN619776 target 30 
DES_SN629156 target 42 
DES_SN721629 target 0 
DES_SN688442 target 42 
DES_SN682504 target 0 
DES_SN722958 target 43 
DES_SN058427 target 0 
DES_SN517928 target 0 
DES_SN416803 target 0 
DES_SN329572 target 30 
DES_SN317972 target 42 
DES_SN111766 target 0 
DES_SN570066 target 27 
DES_SN236273 target 36 
DES_SN078038 target 20 
DES_SN528068 target 30 
