# ID train/target Class
DES_SN778175 target 30
DES_SN143700 target 0
DES_SN045040 target 0
DES_SN543978 target 0
DES_SN576611 target 33
DES_SN257944 target 0
DES_SN612685 target 21
DES_SN023771 target 15
DES_SN657639 target 0
DES_SN202358 target 0
DES_SN246364 target 0
DES_SN651016 target 0
DES_SN033008 target 0
DES_SN112925 target 0
DES_SN853346 target 0
DES_SN177469 target 0
DES_SN776269 target 8
DES_SN021825 target 0
DES_SN419142 target 2
DES_SN408902 target 34
DES_SN051273 target 0
DES_SN709212 target 8
DES_SN220142 target 0
DES_SN720166 target 0
DES_SN206846 target 22
DES_SN093461 target 0
DES_SN047111 target 2
DES_SN319525 target 0
DES_SN593050 target 0
DES_SN051037 target 32
DES_SN168010 target 0
DES_SN087447 target 37
DES_SN640769 target 30
DES_SN885645 target 0
DES_SN299251 target 0
DES_SN517391 target 13
DES_SN612561 target 22
DES_SN224775 target 8
DES_SN523476 target 2
DES_SN594884 target 8
DES_SN407414 target 0
DES_SN210795 target 0
DES_SN144845 target 34
DES_SN296903 target 32
DES_SN777247 target 21
DES_SN690510 target 22
DES_SN882880 target 0
DES_SN613757 target 30
DES_SN065634 target 30
DES_SN448108 target 3
DES_SN739714 target 0
DES_SN186088 target 0
DES_SN589452 target 21
DES_SN465127 target 0
DES_SN761990 target 30
DES_SN221730 target 30
DES_SN285563 target 0
DES_SN477085 target 24
DES_SN389450 target 0
DES_SN506673 target 2
DES_SN676452 target 30
DES_SN876786 target 30
DES_SN328486 target 2
DES_SN701692 target 0
DES_SN181275 target 0
DES_SN565207 target 0
DES_SN758907 target 7
DES_SN892319 target 0
DES_SN122562 target 8
DES_SN439281 target 2
DES_SN046970 target 30
DES_SN435000 target 0
DES_SN302386 target 0
DES_SN188225 target 26
DES_SN438186 target 0
DES_SN228810 target 42
DES_SN164550 target 0
DES_SN522019 target 8
DES_SN495446 target 0
DES_SN583998 target 0
DES_SN011549 target 0
DES_SN335077 target 26
DES_SN741381 target 0
DES_SN237812 target 0
DES_SN329867 target 30
DES_SN558029 target 13
DES_SN703406 target 0
DES_SN504179 target 0
DES_SN294034 target 30
DES_SN768393 target 0
DES_SN825573 target 0
DES_SN339861 target 30
DES_SN466483 target 4
DES_SN619969 target 23
DES_SN877152 target 30
DES_SN343905 target 0
DES_SN591060 target 21
DES_SN058026 target 8
DES_SN898692 target 21
DES_SN372498 target 21
DES_SN561919 target 0
DES_SN898751 target 0
DES_SN260016 target 0
DES_SN034010 target 45
DES_SN421789 target 30
DES_SN618202 target 0
DES_SN364421 target 0
DES_SN538465 target 17
DES_SN705219 target 37
DES_SN546089 target 0
DES_SN114068 target 29
DES_SN013635 target 2
DES_SN306489 target 0
DES_SN623311 target 0
DES_SN370072 target 0
DES_SN155898 target 2
DES_SN615761 target 30
DES_SN183957 target 0
DES_SN653862 target 32
DES_SN257311 target 0
DES_SN499427 target 2
DES_SN703907 target 0
DES_SN253020 target 44
DES_SN509387 target 0
DES_SN873796 target 6
DES_SN269236 target 6
DES_SN799606 target 0
DES_SN555886 target 26
DES_SN593788 target 0
DES_SN593868 target 0
DES_SN574234 target 0
DES_SN406554 target 42
DES_SN155230 target 42
DES_SN046527 target 36
DES_SN011742 target 0
DES_SN234767 target 24
DES_SN583928 target 0
DES_SN754650 target 0
DES_SN108673 target 26
DES_SN278449 target 0
DES_SN035933 target 30
DES_SN672585 target 36
DES_SN293713 target 30
DES_SN146108 target 0
DES_SN463971 target 0
DES_SN750312 target 0
DES_SN795077 target 0
DES_SN039831 target 42
DES_SN855334 target 0
DES_SN801619 target 0
DES_SN879090 target 0
DES_SN653840 target 0
DES_SN540078 target 2
DES_SN526862 target 30
DES_SN022400 target 0
DES_SN821846 target 0
DES_SN253778 target 0
DES_SN100729 target 8
DES_SN305050 target 33
DES_SN196886 target 0
DES_SN761455 target 0
DES_SN519652 target 0
DES_SN071914 target 0
DES_SN631534 target 36
DES_SN557945 target 30
DES_SN800090 target 0
DES_SN633192 target 0
DES_SN553333 target 30
DES_SN103501 target 0
DES_SN666795 target 0
DES_SN555204 target 1
DES_SN546008 target 0
DES_SN590365 target 0
DES_SN048624 target 0
DES_SN897904 target 0
DES_SN720935 target 0
DES_SN898237 target 0
DES_SN786750 target 1
DES_SN204271 target 0
DES_SN541292 target 0
DES_SN713607 target 0
DES_SN751451 target 0
DES_SN680933 target 0
DES_SN844990 target 0
DES_SN556101 target 0
DES_SN143250 target 0
DES_SN451397 target 0
DES_SN259623 target 5
DES_SN356242 target 0
DES_SN102293 target 0
DES_SN753136 target 30
DES_SN702356 target 0
DES_SN831539 target 0
DES_SN082106 target 0
DES_SN339133 target 0
DES_SN326356 target 0
DES_SN696072 target 22
DES_SN737612 target 30
DES_SN429689 target 0
DES_SN203519 target 15
DES_SN560681 target 22
DES_SN240263 target 42
DES_SN605141 target 0
DES_SN707598 target 0
DES_SN773179 target 42
DES_SN038678 target 0
DES_SN693363 target 35
DES_SN389406 target 19
DES_SN487393 target 0
DES_SN220705 target 30
DES_SN110803 target 0
DES_SN314264 target 0
DES_SN677132 target 0
DES_SN225591 target 0
DES_SN109820 target 43
DES_SN592725 target 0
DES_SN039466 target 32
DES_SN784502 target 0
DES_SN636621 target 32
DES_SN678685 target 19
DES_SN035731 target 0
DES_SN662904 target 0
DES_SN253920 target 0
DES_SN236737 target 0
DES_SN124710 target 0
DES_SN467148 target 19
DES_SN664306 target 26
DES_SN250461 target 15
DES_SN117761 target 22
DES_SN149147 target 2
DES_SN654650 target 0
DES_SN505781 target 27
DES_SN460496 target 19
DES_SN759070 target 0
DES_SN325684 target 0
DES_SN612420 target 0
DES_SN241866 target 0
DES_SN821689 target 0
DES_SN501247 target 0
DES_SN822436 target 0
DES_SN452031 target 0
DES_SN212692 target 0
DES_SN420391 target 0
DES_SN380151 target 0
