# ID train/target Class
DES_SN214352 target 27
DES_SN120614 target 20
DES_SN760166 target 0
DES_SN474512 target 30
DES_SN380982 target 24
DES_SN041926 target 0
DES_SN151313 target 0
DES_SN535726 target 17
DES_SN861445 target 17
DES_SN657812 target 0
DES_SN238299 target 42
DES_SN203345 target 0
DES_SN359673 target 30
DES_SN530982 target 34
DES_SN812056 target 26
DES_SN253169 target 32
DES_SN593458 target 21
DES_SN255640 target 44
DES_SN081258 target 20
DES_SN639716 target 2
DES_SN116014 target 29
DES_SN303771 target 33
DES_SN419790 target 36
DES_SN243920 target 36
DES_SN696505 target 0
DES_SN250178 target 0
DES_SN764587 target 25
DES_SN549028 target 34
DES_SN790893 target 0
DES_SN186599 target 40
DES_SN808095 target 0
DES_SN525134 target 27
DES_SN213574 target 32
DES_SN200833 target 31
DES_SN373436 target 2
DES_SN583670 target 4
DES_SN036404 target 0
DES_SN130092 target 36
DES_SN526824 target 17
DES_SN492763 target 30
DES_SN683877 target 0
DES_SN771259 target 0
DES_SN758644 target 4
DES_SN355689 target 32
DES_SN354595 target 27
DES_SN818154 target 0
DES_SN759760 target 43
DES_SN258893 target 0
DES_SN398662 target 0
DES_SN347616 target 30
DES_SN506753 target 32
DES_SN884375 target 30
DES_SN591054 target 31
DES_SN460759 target 42
DES_SN206788 target 0
DES_SN494195 target 30
DES_SN664187 target 26
DES_SN850436 target 0
DES_SN186012 target 0
DES_SN528561 target 44
DES_SN303791 target 14
DES_SN761465 target 0
DES_SN311286 target 0
DES_SN130051 target 28
DES_SN208169 target 30
DES_SN302353 target 0
DES_SN343938 target 42
DES_SN009454 target 0
DES_SN038961 target 0
DES_SN752617 target 0
DES_SN895226 target 7
DES_SN468926 target 0
DES_SN840742 target 38
DES_SN142784 target 45
DES_SN207520 target 13
DES_SN623193 target 16
DES_SN395636 target 25
DES_SN813020 target 0
DES_SN889502 target 1
DES_SN796998 target 29
DES_SN134390 target 24
DES_SN423708 target 0
DES_SN358346 target 30
DES_SN786507 target 0
DES_SN421860 target 0
DES_SN540679 target 17
DES_SN495505 target 27
DES_SN696084 target 32
DES_SN579490 target 22
DES_SN202973 target 0
DES_SN569924 target 27
DES_SN214775 target 24
DES_SN692402 target 24
DES_SN748878 target 33
DES_SN340145 target 4
DES_SN672660 target 16
DES_SN250131 target 0
DES_SN049523 target 0
DES_SN838786 target 12
DES_SN194573 target 8
DES_SN762058 target 29
DES_SN556723 target 42
DES_SN219651 target 30
DES_SN466084 target 0
DES_SN084735 target 0
DES_SN085225 target 0
DES_SN271768 target 30
DES_SN452879 target 4
DES_SN049996 target 33
DES_SN701692 target 0
DES_SN076558 target 30
DES_SN693486 target 17
DES_SN476559 target 15
DES_SN582428 target 20
DES_SN688267 target 15
DES_SN867492 target 19
DES_SN379360 target 0
DES_SN329630 target 42
DES_SN772733 target 2
DES_SN770949 target 0
DES_SN877257 target 2
DES_SN536255 target 43
DES_SN552189 target 4
DES_SN594884 target 8
DES_SN373625 target 20
DES_SN171199 target 30
DES_SN595049 target 37
DES_SN841552 target 9
DES_SN196967 target 30
DES_SN010976 target 38
DES_SN776989 target 24
DES_SN278070 target 37
DES_SN143842 target 42
DES_SN028922 target 0
DES_SN036919 target 32
DES_SN842922 target 32
DES_SN227591 target 0
DES_SN322970 target 26
DES_SN538638 target 42
DES_SN527536 target 18
DES_SN119825 target 4
DES_SN138231 target 40
DES_SN158123 target 4
DES_SN429745 target 0
DES_SN561905 target 17
DES_SN095227 target 0
DES_SN226524 target 0
DES_SN538579 target 43
DES_SN727814 target 24
DES_SN862350 target 0
DES_SN402878 target 27
DES_SN540979 target 32
DES_SN592316 target 0
DES_SN337286 target 27
DES_SN639948 target 29
DES_SN207515 target 40
DES_SN683604 target 30
DES_SN382343 target 2
DES_SN366831 target 38
DES_SN538406 target 24
DES_SN761294 target 0
DES_SN284167 target 33
DES_SN106192 target 1
DES_SN837291 target 8
DES_SN742148 target 0
DES_SN695663 target 32
DES_SN123257 target 2
DES_SN822663 target 30
DES_SN466018 target 15
DES_SN257437 target 0
DES_SN043525 target 30
DES_SN256224 target 31
DES_SN789194 target 33
DES_SN833167 target 0
DES_SN164404 target 21
DES_SN296226 target 28
DES_SN651706 target 21
DES_SN112847 target 30
DES_SN429011 target 0
DES_SN332570 target 24
DES_SN550741 target 0
DES_SN881131 target 44
DES_SN669695 target 21
DES_SN072432 target 0
DES_SN265424 target 15
DES_SN766686 target 2
DES_SN602106 target 44
DES_SN581990 target 31
DES_SN514475 target 30
DES_SN300845 target 27
DES_SN367104 target 27
DES_SN439760 target 44
DES_SN400533 target 0
DES_SN023913 target 0
DES_SN548522 target 3
DES_SN571912 target 0
DES_SN108913 target 24
DES_SN643129 target 2
DES_SN208886 target 21
DES_SN172420 target 14
DES_SN853221 target 26
DES_SN118073 target 15
DES_SN070061 target 30
DES_SN141149 target 0
DES_SN052729 target 0
DES_SN358775 target 24
DES_SN321365 target 15
DES_SN327540 target 22
DES_SN827443 target 0
DES_SN606603 target 41
DES_SN443231 target 0
DES_SN008426 target 43
DES_SN739513 target 8
DES_SN504176 target 32
DES_SN484532 target 27
DES_SN116127 target 17
DES_SN897682 target 27
DES_SN733353 target 26
DES_SN031240 target 20
DES_SN304066 target 44
DES_SN462109 target 40
DES_SN449975 target 37
DES_SN882388 target 21
DES_SN156890 target 44
DES_SN262761 target 24
DES_SN716977 target 29
DES_SN271512 target 17
DES_SN001150 target 30
DES_SN514569 target 30
DES_SN198330 target 0
DES_SN721389 target 4
DES_SN179635 target 0
DES_SN685292 target 8
